COLUMN_NAME,DATA_TYPE
OfficeMlsId,varchar
OfficeName,varchar
OfficeStatus,varchar
OfficeNationalAssociationId,varchar
OfficeNrdsId,varchar
MainOfficeMlsId,varchar
OfficeAddress1,varchar
OfficeAddress2,varchar
OfficeCity,varchar
OfficeStateOrProvince,varchar
len_OfficeStatus,varchar
OfficeCountry,varchar
OfficePhone,varchar
OfficeEmail,varchar
OfficeComplianceEmail,varchar
OfficeFax,varchar
SyndicateTo,varchar
SyndicateAgentOption,varchar
OfficeCorporateLicenseExpirationDate,datetime2
ModificationTimestamp,datetime2
